DATE,CCG,COUNT
2020-04-30,"Heywood, Middleton and Rochdale",125
2020-04-30,Manchester,120
2020-04-30,Oldham,90
2020-04-30,Salford,110
2020-04-30,Stockport,160
2020-04-30,Tameside and Glossop,135
2020-04-30,Trafford,55
2020-04-30,Wigan Borough,130
2020-05-31,Bolton,155
2020-05-31,Bury,155
2020-05-31,"Heywood, Middleton and Rochdale",140
2020-05-31,Manchester,125
2020-05-31,Oldham,90
2020-05-31,Salford,100
2020-05-31,Stockport,155
2020-05-31,Tameside and Glossop,115
2020-05-31,Trafford,35
2020-05-31,Wigan Borough,120
2020-06-30,Bolton,150
2020-06-30,Bury,145
2020-06-30,"Heywood, Middleton and Rochdale",125
2020-06-30,Manchester,125
2020-06-30,Oldham,85
2020-06-30,Salford,90
2020-06-30,Stockport,135
2020-06-30,Tameside and Glossop,105
2020-06-30,Trafford,40
2020-06-30,Wigan Borough,105
2020-07-31,Bolton,150
2020-07-31,Bury,140
2020-07-31,"Heywood, Middleton and Rochdale",120
2020-07-31,Manchester,120
2020-07-31,Oldham,90
2020-07-31,Salford,90
2020-07-31,Stockport,150
2020-07-31,Tameside and Glossop,105
2020-07-31,Trafford,35
2020-07-31,Wigan Borough,95
2020-08-31,Bolton,125
2020-08-31,Bury,140
2020-08-31,"Heywood, Middleton and Rochdale",120
2020-08-31,Manchester,100
2020-08-31,Oldham,120
2020-08-31,Salford,100
2020-08-31,Stockport,145
2020-08-31,Tameside and Glossop,105
2020-08-31,Trafford,40
2020-08-31,Wigan Borough,95
2020-09-30,Bolton,160
2020-09-30,Bury,135
2020-09-30,"Heywood, Middleton and Rochdale",125
2020-09-30,Manchester,130
2020-09-30,Oldham,90
2020-09-30,Salford,85
2020-09-30,Stockport,130
2020-09-30,Tameside and Glossop,115
2020-09-30,Trafford,30
2020-09-30,Wigan Borough,100
2020-10-31,Bolton,140
2020-10-31,Bury,140
2020-10-31,"Heywood, Middleton and Rochdale",115
2020-10-31,Manchester,135
2020-10-31,Oldham,90
2020-10-31,Salford,85
2020-10-31,Stockport,135
2020-10-31,Tameside and Glossop,125
2020-10-31,Trafford,25
2020-10-31,Wigan Borough,105
2020-11-30,Bolton,150
2020-11-30,Bury,160
2020-11-30,"Heywood, Middleton and Rochdale",105
2020-11-30,Manchester,125
2020-11-30,Oldham,75
2020-11-30,Salford,95
2020-11-30,Stockport,125
2020-11-30,Tameside and Glossop,120
2020-11-30,Trafford,30
2020-11-30,Wigan Borough,95
2020-12-31,Bolton,155
2020-12-31,Bury,155
2020-12-31,"Heywood, Middleton and Rochdale",105
2020-12-31,Manchester,120
2020-12-31,Oldham,75
2020-12-31,Salford,95
2020-12-31,Stockport,120
2020-12-31,Tameside and Glossop,115
2020-12-31,Trafford,30
2020-12-31,Wigan Borough,105
2021-01-31,Bolton,170
2021-01-31,Bury,150
2021-01-31,"Heywood, Middleton and Rochdale",95
2021-01-31,Manchester,110
2021-01-31,Oldham,75
2021-01-31,Salford,85
2021-01-31,Stockport,135
2021-01-31,Tameside and Glossop,125
2021-01-31,Trafford,30
2021-01-31,Wigan Borough,85
